App,Category,Rating,Reviews,Size_MB,Installs,Type,Price_$,Content_Rating,Genres,Last_Updated,Android_Version
PulseGuide,HEALTH,3.7,401077,58.7,"1,000,000+",Paid,1.99,Teen,Education,2024-06-05,8.0 and up
StyleMind Pro,LIFESTYLE,5.0,460806,17.3,"10,000+",Free,0.0,Mature 17+,Education,2024-09-14,8.0 and up
StarCare Mix,ENTERTAINMENT,2.5,4989914,153.3,"10,000,000+",Free,0.0,Teen,Health,2024-06-12,5.0 and up
VoltRush Go,TOOLS,3.0,1004011,21.1,"1,000+",Free,0.0,Everyone,Action,2024-05-26,4.1 and up
WellTrack Now,HEALTH,3.5,312033,17.6,"1,000,000+",Free,0.0,Everyone,Health,2024-06-02,4.1 and up
ClassPulse Edge,EDUCATION,4.8,3205609,20.7,"1,000+",Free,0.0,Teen,Health,2024-02-07,4.1 and up
VitaTrack Go,HEALTH,2.7,4686176,39.9,"10,000+",Free,0.0,Everyone,Music,2024-05-10,6.0 and up
VibeSteps Max,ENTERTAINMENT,2.5,3177912,73.2,"10,000+",Paid,4.99,Mature 17+,Health,2024-12-23,6.0 and up
CoreScan,TOOLS,2.6,755121,27.5,"10,000,000+",Free,0.0,Mature 17+,Tools,2024-09-11,8.0 and up
DailyGuard Now,LIFESTYLE,2.7,2320725,25.4,"10,000,000+",Free,0.0,Teen,Health,2024-07-26,6.0 and up
SceneJam Now,ENTERTAINMENT,2.6,2234815,108.8,"10,000+",Free,0.0,Everyone,Music,2024-04-04,4.1 and up
FunGuard Pro,ENTERTAINMENT,3.7,4304469,147.2,"1,000,000+",Paid,0.99,Mature 17+,Tools,2024-12-13,5.0 and up
SkillCoach,EDUCATION,4.0,1899064,46.3,"1,000+",Free,0.0,Mature 17+,Education,2024-11-22,6.0 and up
FundMaze Plus,FINANCE,3.2,3457560,77.8,"100,000+",Paid,0.99,Mature 17+,Puzzle,2024-06-19,6.0 and up
VoltWorks Prime,TOOLS,3.5,1550194,30.3,"10,000,000+",Free,0.0,Teen,Business,2024-09-06,4.1 and up
LeadBeat Rush,BUSINESS,2.7,4174492,26.7,"100,000+",Free,0.0,Teen,Health,2024-07-08,6.0 and up
StreamDesk Night,ENTERTAINMENT,3.3,3273533,122.4,"1,000,000+",Free,0.0,Mature 17+,Tools,2024-07-17,8.0 and up
CashMaze Max,FINANCE,3.8,88678,35.5,"10,000,000+",Free,0.0,Mature 17+,Puzzle,2024-08-08,5.0 and up
OfficeBeat Lite,BUSINESS,4.3,2834847,50.7,"100,000+",Free,0.0,Everyone,Music,2024-01-24,4.1 and up
CoreGrid One,TOOLS,2.5,3619358,24.8,"1,000,000+",Free,0.0,Everyone,Puzzle,2024-08-31,8.0 and up
TurboStack Go,GAME,3.7,1924924,108.1,"1,000+",Free,0.0,Everyone,Business,2024-11-19,4.1 and up
PayTile,FINANCE,3.2,4010172,39.7,"1,000,000+",Free,0.0,Teen,Puzzle,2024-05-07,8.0 and up
FocusPanel X,PRODUCTIVITY,4.6,4747405,66.3,"10,000,000+",Free,0.0,Mature 17+,Tools,2024-04-02,5.0 and up
QuestMaze Prime,GAME,4.3,2770752,147.0,"10,000+",Paid,1.99,Teen,Puzzle,2024-10-26,5.0 and up
EduLoop Pro,EDUCATION,4.0,2770384,36.8,"1,000+",Free,0.0,Mature 17+,Puzzle,2024-05-12,8.0 and up
MediCube Lite,HEALTH,3.2,3582309,36.7,"100,000+",Free,0.0,Everyone,Puzzle,2024-02-24,8.0 and up
GlowRaid Max,LIFESTYLE,4.8,3045925,46.7,"10,000,000+",Free,0.0,Everyone,Action,2024-06-06,8.0 and up
TimeCoach,PRODUCTIVITY,2.6,270924,37.9,"10,000+",Free,0.0,Everyone,Health,2024-01-29,8.0 and up
SkillMix One,EDUCATION,2.8,4109813,80.5,"1,000,000+",Free,0.0,Everyone,Music,2024-07-29,8.0 and up
TaskDesk Dark,TOOLS,3.5,362465,24.1,"10,000+",Free,0.0,Mature 17+,Business,2024-06-02,8.0 and up
BookMix Now,EDUCATION,2.8,4474027,160.0,"10,000,000+",Free,0.0,Everyone,Music,2024-10-19,5.0 and up
VitaDrift One,HEALTH,4.9,1034596,45.1,"10,000,000+",Free,0.0,Mature 17+,Action,2024-08-09,8.0 and up
CoreZone Night,TOOLS,4.5,1746698,16.3,"10,000+",Free,0.0,Mature 17+,Action,2024-04-24,6.0 and up
BoostHub Mix,PRODUCTIVITY,3.1,3100591,25.9,"1,000,000+",Free,0.0,Teen,Tools,2024-06-06,5.0 and up
HealZone Go,HEALTH,4.0,2661647,43.9,"10,000+",Free,0.0,Everyone,Action,2024-09-15,4.1 and up
BizSteps,BUSINESS,5.0,3672287,78.1,"10,000,000+",Free,0.0,Everyone,Health,2024-09-07,5.0 and up
AuraDash Play,LIFESTYLE,4.7,2084514,31.0,"10,000,000+",Free,0.0,Teen,Action,2024-05-01,4.1 and up
SyncLoop Max,PRODUCTIVITY,4.0,4157147,20.8,"100,000+",Free,0.0,Mature 17+,Puzzle,2024-10-25,4.1 and up
DealMix Lite,BUSINESS,4.8,2254746,27.1,"100,000+",Free,0.0,Everyone,Music,2024-09-19,6.0 and up
BoostGuide Pro,PRODUCTIVITY,5.0,3021382,38.1,"1,000+",Paid,1.99,Mature 17+,Education,2024-02-18,8.0 and up
FixDesk Play,TOOLS,4.4,2388239,37.7,"10,000,000+",Free,0.0,Teen,Business,2024-11-24,8.0 and up
MarketRush Dark,BUSINESS,2.7,3121891,45.9,"100,000+",Free,0.0,Mature 17+,Action,2024-10-23,5.0 and up
BloomTrack,LIFESTYLE,3.5,4854052,21.1,"10,000+",Free,0.0,Everyone,Music,2024-12-27,8.0 and up
HeartScan Pro,HEALTH,4.6,2471388,50.4,"1,000,000+",Free,0.0,Mature 17+,Tools,2024-03-17,6.0 and up
PlayQuest Dark,ENTERTAINMENT,3.1,3830131,80.9,"10,000+",Free,0.0,Mature 17+,Action,2024-05-06,5.0 and up
SmartPulse Go,EDUCATION,4.6,3562954,68.7,"1,000,000+",Free,0.0,Everyone,Health,2024-07-15,5.0 and up
PixelDrift One,GAME,2.8,1353334,270.2,"100,000+",Free,0.0,Everyone,Action,2024-08-08,5.0 and up
NestDrift Dark,LIFESTYLE,2.6,3372465,25.8,"1,000+",Free,0.0,Mature 17+,Action,2024-03-31,8.0 and up
DealBlast Max,BUSINESS,3.5,4268183,48.6,"10,000+",Free,0.0,Mature 17+,Action,2024-01-08,8.0 and up
FunSync Rush,ENTERTAINMENT,2.6,869817,84.2,"10,000+",Free,0.0,Teen,Tools,2024-02-01,8.0 and up
AuraZone Now,LIFESTYLE,4.9,4396730,27.3,"10,000+",Free,0.0,Everyone,Action,2024-11-15,5.0 and up
TradePanel Max,BUSINESS,4.6,4070038,55.8,"1,000,000+",Free,0.0,Mature 17+,Business,2024-09-25,5.0 and up
PayMix Lite,FINANCE,4.5,2664506,22.9,"100,000+",Free,0.0,Everyone,Music,2024-07-09,4.1 and up
CoinCare Mix,FINANCE,4.1,2872186,32.1,"10,000+",Free,0.0,Teen,Health,2024-12-14,4.1 and up
GlowZone,LIFESTYLE,3.0,1369287,22.3,"10,000+",Free,0.0,Mature 17+,Action,2024-06-11,8.0 and up
TaxStrike Night,FINANCE,3.8,749981,25.3,"1,000+",Free,0.0,Mature 17+,Action,2024-03-01,5.0 and up
TeamBlast Night,BUSINESS,4.0,2593669,26.9,"1,000+",Free,0.0,Mature 17+,Action,2024-09-20,8.0 and up
DealQuest Now,BUSINESS,3.8,4166243,80.6,"100,000+",Free,0.0,Everyone,Action,2024-10-11,8.0 and up
NestSpark Rush,LIFESTYLE,3.2,4460286,18.2,"100,000+",Free,0.0,Teen,Puzzle,2024-04-04,4.1 and up
PlayMaze Now,ENTERTAINMENT,3.8,4075847,178.5,"10,000,000+",Free,0.0,Everyone,Puzzle,2024-02-10,6.0 and up
FitGuide Dark,HEALTH,3.7,1342067,15.1,"1,000+",Free,0.0,Mature 17+,Education,2024-05-28,8.0 and up
TaskBlast,PRODUCTIVITY,5.0,2233716,36.0,"10,000,000+",Free,0.0,Teen,Action,2024-07-22,6.0 and up
PlayBase Dark,ENTERTAINMENT,4.7,485767,104.6,"1,000,000+",Free,0.0,Mature 17+,Education,2024-09-23,6.0 and up
FixPanel One,TOOLS,3.7,2054386,32.5,"10,000,000+",Free,0.0,Mature 17+,Business,2024-01-02,5.0 and up
SalesCoach Go,BUSINESS,4.1,2279186,44.4,"10,000+",Free,0.0,Everyone,Education,2024-06-26,5.0 and up
TapJam,TOOLS,4.4,1185121,39.9,"10,000,000+",Free,0.0,Mature 17+,Music,2024-07-12,8.0 and up
BuzzRiddle Play,ENTERTAINMENT,2.6,4961838,64.1,"100,000+",Free,0.0,Teen,Puzzle,2024-12-01,4.1 and up
PlanCube Dark,PRODUCTIVITY,4.7,2392929,27.8,"1,000,000+",Free,0.0,Mature 17+,Puzzle,2024-07-14,4.1 and up
TimeForce Pro,PRODUCTIVITY,4.7,1500958,46.2,"10,000+",Free,0.0,Mature 17+,Action,2024-12-08,8.0 and up
QuestStrike Lite,GAME,3.6,4107844,203.7,"10,000,000+",Free,0.0,Everyone,Action,2024-09-05,8.0 and up
SyncWorks,PRODUCTIVITY,3.5,2408640,21.0,"1,000,000+",Paid,0.99,Teen,Business,2024-07-30,4.1 and up
VitaCoach,HEALTH,3.2,1594928,27.7,"1,000,000+",Free,0.0,Everyone,Health,2024-06-01,6.0 and up
FlowFlow,PRODUCTIVITY,3.7,4668180,22.6,"10,000+",Paid,0.0,Mature 17+,Business,2024-06-06,8.0 and up
PlayBeat Prime,ENTERTAINMENT,2.6,2703004,139.7,"10,000,000+",Free,0.0,Everyone,Music,2024-12-27,6.0 and up
MythStrike Go,GAME,4.6,2704726,221.0,"1,000,000+",Free,0.0,Everyone,Action,2024-05-18,8.0 and up
ShowStrike Now,ENTERTAINMENT,2.6,4902454,146.1,"1,000,000+",Free,0.0,Everyone,Action,2024-08-08,8.0 and up
PlayPanel Go,ENTERTAINMENT,3.3,192522,51.0,"1,000+",Free,0.0,Everyone,Business,2024-09-29,6.0 and up
ClassStack Night,EDUCATION,4.8,3714389,68.0,"1,000,000+",Free,0.0,Mature 17+,Business,2024-06-02,6.0 and up
MythPanel Dark,GAME,4.3,4385734,171.2,"1,000+",Free,0.0,Mature 17+,Business,2024-09-05,4.1 and up
VibeGrid Edge,ENTERTAINMENT,3.2,4904958,97.2,"10,000,000+",Free,0.0,Teen,Puzzle,2024-10-05,8.0 and up
NoteBook Now,EDUCATION,3.1,1549430,92.1,"10,000,000+",Paid,1.99,Everyone,Education,2024-10-30,5.0 and up
EduBase Now,EDUCATION,2.5,2075925,49.9,"10,000,000+",Free,0.0,Everyone,Education,2024-10-02,5.0 and up
ArcForce Mix,GAME,4.2,3348934,145.2,"100,000+",Free,0.0,Teen,Action,2024-01-02,8.0 and up
QuickMaze Hub,TOOLS,2.6,3345657,24.0,"10,000,000+",Free,0.0,Everyone,Puzzle,2024-03-28,8.0 and up
HealPilot Mix,HEALTH,3.8,3900389,28.5,"1,000,000+",Free,0.0,Teen,Business,2024-10-13,8.0 and up
FlowDash Pro,PRODUCTIVITY,4.9,3804419,38.3,"10,000+",Free,0.0,Mature 17+,Action,2024-05-09,6.0 and up
